MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
short,MAVUSDT,30:9:4:24,,30:9:05:205,,
short,BTCUSDC,30:9:4:48,,30:9:05:058,,
short,ETHUSDT,30:9:4:58,,30:9:05:58,,
short,IOTXUSDT,30:9:4:59,,30:9:05:59,,
long,DYDXUSDT,30:9:5:8,,30:9:06:8,,
short,BLURUSDT,30:9:5:10,,30:9:06:10,,
short,MANAUSDT,30:9:5:11,,30:9:06:11,,
short,RDNTUSDT,30:9:5:12,,30:9:06:12,,
short,EGLDUSDT,30:9:5:18,,30:9:06:18,,
long,MASKUSDT,30:9:5:19,,30:9:06:19,,
short,HBARUSDT,30:9:5:26,,30:9:06:26,,
long,MBLUSDT,30:9:5:40,,30:9:06:40,,
long,FTMUSDT,30:9:6:2,,30:9:07:2,,
short,GMTUSDT,30:9:6:4,,30:9:07:4,,
long,ARPAUSDT,30:9:6:12,,30:9:07:12,,
long,XMRUSDT,30:9:6:22,,30:9:07:22,,
long,ACHUSDT,30:9:6:30,,30:9:07:30,,
long,YFIUSDT,30:9:6:32,,30:9:07:32,,
short,API3USDT,30:9:6:41,,30:9:07:41,,
short,APTUSDT,30:9:6:47,,30:9:07:47,,
long,ILVUSDT,30:9:6:48,,30:9:07:48,,
long,UNIUSDT,30:9:6:58,,30:9:07:58,,
short,STORJUSDT,30:9:7:22,,30:9:08:22,,
long,BNBUSDT,30:9:7:26,,30:9:08:26,,
long,BNBUSDC,30:9:7:28,,30:9:08:28,,
long,KEYUSDT,30:9:7:29,,30:9:08:29,,
long,CVXUSDT,30:9:7:36,,30:9:08:36,,
long,CRVUSDT,30:9:7:37,,30:9:08:308,,
long,AUDIOUSDT,30:9:7:44,,30:9:08:44,,
short,XEMUSDT,30:9:7:48,,30:9:08:48,,
short,WOOUSDT,30:9:8:18,,30:9:09:109,,
short,HOOKUSDT,30:9:8:29,,30:9:09:29,,
long,STGUSDT,30:9:8:35,,30:9:09:35,,
short,PEOPLEUSDT,30:9:8:39,,30:9:09:39,,
long,IOSTUSDT,30:9:8:40,,30:9:09:40,,
short,ADAUSDT,30:9:8:48,,30:9:09:409,,
short,RLCUSDT,30:9:9:18,,30:10:10:18,,
long,ALGOUSDT,30:9:9:26,,30:10:10:26,,
short,AXSUSDT,30:9:9:38,,30:10:10:38,,
short,CYBERUSDT,30:9:9:52,,30:10:10:52,,
short,GALAUSDT,30:9:9:53,,30:10:10:53,,
short,SNTUSDT,30:9:9:56,,30:10:10:56,,
short,NTRNUSDT,30:9:9:59,,30:10:10:510,,
long,SUPERUSDT,30:9:10:9,,30:9:11:9,,
