MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
long,OPUSDT,30:12:19:40,,30:13:19:40,,
long,REEFUSDT,30:12:19:42,,30:13:19:42,,
short,HFTUSDT,30:12:19:47,,30:13:19:47,,
long,DGBUSDT,30:12:19:49,,30:13:19:49,,
long,ZENUSDT,30:12:19:54,,30:13:19:54,,
long,LEVERUSDT,30:12:20:15,,30:13:20:15,,
long,COMPUSDT,30:12:20:27,,30:13:20:27,,
long,ARPAUSDT,30:12:20:45,,30:13:20:45,,
long,BNXUSDT,30:12:20:54,,30:13:20:54,,
long,SNTUSDT,30:12:21:8,,30:13:21:8,,
long,FTMUSDT,30:12:21:10,,30:13:21:10,,
long,ALICEUSDT,30:12:21:15,,30:13:21:15,,
long,YFIUSDT,30:12:21:24,,30:13:21:24,,
long,ROSEUSDT,30:12:21:34,,30:13:21:34,,
long,TRBUSDT,30:12:22:2,,30:13:22:2,,
long,BNTUSDT,30:12:22:13,,30:13:22:13,,
long,CRVUSDT,30:12:22:13,,30:13:22:13,,
long,NFPUSDT,30:12:22:14,,30:13:22:14,,
long,CVXUSDT,30:12:22:20,,30:13:22:20,,
long,AXSUSDT,30:12:22:23,,30:13:22:23,,
long,ZECUSDT,30:12:22:24,,30:13:22:24,,
long,CTKUSDT,30:12:22:35,,30:13:22:35,,
long,BADGERUSDT,30:12:22:36,,30:13:22:36,,
long,GALAUSDT,30:12:22:51,,30:13:22:51,,
long,KEYUSDT,30:12:22:53,,30:13:22:53,,
long,STGUSDT,30:12:23:2,,30:13:23:2,,
long,IOSTUSDT,30:12:23:3,,30:13:23:3,,
long,LITUSDT,30:12:23:8,,30:13:23:8,,
long,GASUSDT,30:12:23:16,,30:13:23:16,,
long,AGIXUSDT,30:12:23:35,,30:13:23:35,,
long,RIFUSDT,30:12:23:49,,30:13:23:49,,
long,MBLUSDT,30:12:23:54,,30:13:23:54,,
long,IOTXUSDT,30:12:24:23,,30:13:24:23,,
long,SOLUSDT,30:12:24:26,,30:13:24:26,,
long,DARUSDT,30:12:25:8,,30:13:25:8,,
long,MTLUSDT,30:12:25:10,,30:13:25:10,,
long,SXPUSDT,30:12:25:28,,30:13:25:28,,
long,RNDRUSDT,30:12:25:35,,30:13:25:35,,
long,TIAUSDT,30:12:25:58,,30:13:25:58,,
long,BNBUSDT,30:12:26:6,,30:13:26:6,,
long,SOLUSDC,30:12:26:13,,30:13:26:13,,
long,AUDIOUSDT,30:12:26:20,,30:13:26:20,,
long,BATUSDT,30:12:26:35,,30:13:26:35,,
long,WAXPUSDT,30:12:26:37,,30:13:26:37,,
long,FRONTUSDT,30:12:26:39,,30:13:26:39,,
long,WLDUSDT,30:12:26:43,,30:13:26:43,,
long,RUNEUSDT,30:12:26:53,,30:13:26:53,,
long,SLPUSDT,30:12:27:11,,30:13:27:11,,
long,SPELLUSDT,30:12:27:23,,30:13:27:23,,
long,DASHUSDT,30:12:27:25,,30:13:27:25,,
long,ONGUSDT,30:12:27:51,,30:13:27:51,,
long,STPTUSDT,30:12:27:57,,30:13:27:57,,
short,UMAUSDT,30:12:29:15,,30:13:29:15,,
long,AVAXUSDT,30:12:29:20,,30:13:29:20,,
long,COMBOUSDT,30:12:29:40,,30:13:29:40,,
long,CYBERUSDT,30:12:29:42,,30:13:29:42,,
long,JASMYUSDT,30:12:29:45,,30:13:29:45,,
long,NTRNUSDT,30:12:29:53,,30:13:29:53,,
long,THETAUSDT,30:12:30:26,,30:13:30:26,,
long,ILVUSDT,30:12:31:0,,30:13:31:0,,
long,ENJUSDT,30:12:31:17,,30:13:31:17,,
long,ACEUSDT,30:12:31:18,,30:13:31:18,,
long,NEARUSDT,30:12:33:32,,30:13:33:32,,
long,NEOUSDT,30:12:33:58,,30:13:33:58,,
long,GRTUSDT,30:12:35:2,,30:13:35:2,,
long,ATOMUSDT,30:12:35:15,,30:13:35:15,,
long,LRCUSDT,30:12:35:48,,30:13:35:48,,
long,GLMRUSDT,30:12:36:33,,30:13:36:33,,
long,ZECUSDT,30:12:45:7,,30:13:45:7,,
long,PHBUSDT,30:12:45:26,,30:13:45:26,,
long,NEOUSDT,30:12:45:26,,30:13:45:26,,
long,SFPUSDT,30:12:45:52,,30:13:45:52,,
long,GALAUSDT,30:12:46:28,,30:13:46:28,,
long,BLURUSDT,30:12:47:48,,30:13:47:48,,
long,STEEMUSDT,30:12:49:52,,30:13:49:52,,
long,NFPUSDT,30:12:52:4,,30:13:52:4,,
long,RSRUSDT,30:12:53:56,,30:13:53:56,,
long,CTKUSDT,30:12:54:8,,30:13:54:8,,
long,MBLUSDT,30:12:54:56,,30:13:54:56,,
long,LQTYUSDT,30:12:57:38,,30:13:57:38,,
long,AVAXUSDT,30:13:3:31,,30:14:3:31,,
long,BONDUSDT,30:13:5:30,,30:14:5:30,,
long,ACHUSDT,30:13:6:28,,30:14:6:28,,
long,LOOMUSDT,30:13:6:59,,30:14:6:59,,
long,GRTUSDT,30:13:7:2,,30:14:7:2,,
long,DOTUSDT,30:13:7:22,,30:14:7:22,,
