MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT,CONFIRMATION
long,HIGHUSDT,2:1:10:21:56,,2:1:10:22:56,,,
short,JOEUSDT,2:1:10:24:40,,2:1:10:25:40,,,
short,ONGUSDT,2:1:10:24:47,,2:1:10:25:47,,,
short,BNBBTC,2:1:10:25:5,,2:1:10:26:5,,,
short,KNCUSDT,2:1:10:25:6,,2:1:10:26:6,,,
short,HFTUSDT,2:1:10:25:11,,2:1:10:26:11,,,
short,AMBUSDT,2:1:10:25:12,,2:1:10:26:12,,,
short,LTCUSDT,2:1:10:25:21,,2:1:10:26:21,,,
short,ARKMUSDT,2:1:10:25:24,,2:1:10:26:24,,,
short,IOSTUSDT,2:1:10:25:45,,2:1:10:26:45,,,
long,STPTUSDT,2:1:10:37:40,,2:1:10:38:40,,,
long,ETCUSDT,2:1:10:37:44,,2:1:10:38:44,,,
long,ARKMUSDT,2:1:10:37:52,,2:1:10:38:52,,,
long,PENDLEUSDT,2:1:10:39:3,,2:1:10:40:3,,,
long,MANTAUSDT,2:1:10:39:29,,2:1:10:40:29,,,
long,TWTUSDT,2:1:10:39:50,,2:1:10:40:50,,,
long,PENDLEUSDT,2:1:10:40:46,,2:1:10:41:46,,,
long,SOLUSDC,2:1:10:41:0,,2:1:10:42:0,,,
long,STRAXUSDT,2:1:10:41:32,,2:1:10:42:32,,,
long,OXTUSDT,2:1:10:41:34,,2:1:10:42:34,,,
long,USTCUSDT,2:1:10:42:32,,2:1:10:43:32,,,
long,ARKUSDT,2:1:10:42:33,,2:1:10:43:33,,,
long,BALUSDT,2:1:10:42:58,,2:1:10:43:58,,,
long,MINAUSDT,2:1:10:43:16,,2:1:10:44:16,,,
long,AGIXUSDT,2:1:10:43:27,,2:1:10:44:27,,,
long,BEAMXUSDT,2:1:10:43:28,,2:1:10:44:28,,,
long,POWRUSDT,2:1:10:43:44,,2:1:10:44:44,,,
long,ALTUSDT,2:1:10:43:46,,2:1:10:44:46,,,
long,ATAUSDT,2:1:10:43:55,,2:1:10:44:55,,,
long,STPTUSDT,2:1:10:44:23,,2:1:10:45:23,,,
long,ARKMUSDT,2:1:10:44:34,,2:1:10:45:34,,,
long,OGNUSDT,2:1:10:44:42,,2:1:10:45:42,,,
long,1000SATSUSDT,2:1:10:45:26,,2:1:10:46:26,,,
short,LSKUSDT,2:1:10:45:48,,2:1:10:46:48,,,
long,IOTAUSDT,2:1:10:45:54,,2:1:10:46:54,,,
long,BATUSDT,2:1:10:45:56,,2:1:10:46:56,,,
long,ENSUSDT,2:1:10:46:13,,2:1:10:47:13,,,
long,STRAXUSDT,2:1:10:46:30,,2:1:10:47:30,,,
long,USTCUSDT,2:1:10:47:30,,2:1:10:48:30,,,
long,WAVESUSDT,2:1:10:47:35,,2:1:10:48:35,,,
long,ARKMUSDT,2:1:10:47:49,,2:1:10:48:49,,,
long,POLYXUSDT,2:1:10:49:36,,2:1:10:50:36,,,
long,OXTUSDT,2:1:10:49:46,,2:1:10:50:46,,,
long,1INCHUSDT,2:1:10:53:39,,2:1:10:54:39,,,
long,BNTUSDT,2:1:10:53:43,,2:1:10:54:43,,,
long,CELOUSDT,2:1:10:54:31,,2:1:10:55:31,,,
long,TRUUSDT,2:1:10:54:45,,2:1:10:55:45,,,
long,XAIUSDT,2:1:10:54:58,,2:1:10:55:58,,,
long,IMXUSDT,2:1:10:55:36,,2:1:10:56:36,,,
long,IOSTUSDT,2:1:10:56:48,,2:1:10:57:48,,,
long,TRUUSDT,2:1:10:58:3,,2:1:10:59:3,,,
long,CELOUSDT,2:1:10:59:31,,2:1:11:0:31,,,
long,FRONTUSDT,2:1:11:0:11,,2:1:11:1:11,,,
long,POLYXUSDT,2:1:11:2:32,,3:1:11:3:33,,,
long,MANAUSDT,2:1:11:2:33,,3:1:11:3:33,,,
long,ALICEUSDT,2:1:11:2:36,,3:1:11:3:36,,,
long,XLMUSDT,2:1:11:3:8,,2:1:11:4:8,,,
long,MANTAUSDT,2:1:11:3:58,,2:1:11:4:58,,,
long,CHZUSDT,2:1:11:4:8,,2:1:11:5:8,,,
short,CKBUSDT,2:1:11:5:6,,2:1:11:6:6,,,
long,MANTAUSDT,2:1:11:5:39,,2:1:11:6:39,,,
long,INJUSDT,2:1:11:6:0,,2:1:11:7:0,,,
