MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT,CONFIRMATION
long,MAVUSDT,2:1:19:17:32,,2:1:20:17:32,,,
long,BANDUSDT,2:1:19:18:17,,2:1:20:18:17,,,
long,MAVUSDT,2:1:19:23:0,,2:1:20:23:0,,,
long,BANDUSDT,2:1:19:23:46,,2:1:20:23:46,,,
long,BANDUSDT,2:1:19:29:5,,2:1:20:29:5,,,
long,BTCUSDC,2:1:19:38:47,,2:1:20:38:47,,,
long,BTCUSDT,2:1:19:40:9,,2:1:20:40:9,,,
long,BTCUSDT,2:1:19:41:51,,2:1:20:41:51,,,
long,BANDUSDT,2:1:19:42:13,,2:1:20:42:13,,,
long,BTCUSDC,2:1:19:42:14,,2:1:20:42:14,,,
long,BANDUSDT,2:1:19:50:53,,2:1:20:50:53,,,
long,BANDUSDT,2:1:19:52:38,,2:1:20:52:38,,,
long,BANDUSDT,2:1:19:58:0,,2:1:20:58:0,,,
long,ETCUSDT,2:1:20:2:25,,2:1:21:2:25,,,
long,BANDUSDT,2:1:20:3:18,,2:1:21:3:18,,,
short,JUPUSDT,2:1:20:8:56,,2:1:21:8:56,,,
short,JUPUSDT,2:1:20:10:44,,2:1:21:10:44,,,
long,BANDUSDT,2:1:20:11:0,,2:1:21:11:0,,,
short,BNBUSDT,2:1:20:15:14,,2:1:21:15:14,,,
short,JUPUSDT,2:1:20:15:52,,2:1:21:15:52,,,
short,JUPUSDT,2:1:20:21:0,,2:1:21:21:0,,,
