,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
0,short,MAVUSDT,30:9:4:24,0.58280000,30:9:05:205,0.58410000,False
1,short,BTCUSDC,30:9:4:48,43404.72000000,30:9:05:058,43434.34000000,False
2,short,ETHUSDT,30:9:4:58,2311.21000000,30:9:05:58,2312.80000000,False
3,short,IOTXUSDT,30:9:4:59,0.04347000,30:9:05:59,0.04347000,False
4,long,DYDXUSDT,30:9:5:8,2.79000000,30:9:06:8,2.78900000,False
5,short,BLURUSDT,30:9:5:10,0.67210000,30:9:06:10,0.67100000,True
6,short,MANAUSDT,30:9:5:11,0.45490000,30:9:06:11,0.45450000,True
7,short,RDNTUSDT,30:9:5:12,0.29170000,30:9:06:12,0.29150000,True
8,short,EGLDUSDT,30:9:5:18,55.69000000,30:9:06:18,55.62000000,True
9,long,MASKUSDT,30:9:5:19,3.46800000,30:9:06:19,3.46300000,False
10,short,HBARUSDT,30:9:5:26,0.07440000,30:9:06:26,0.07430000,True
11,long,MBLUSDT,30:9:5:40,0.00422700,30:9:06:40,0.00422200,False
12,long,FTMUSDT,30:9:6:2,0.38230000,30:9:07:2,0.38230000,False
13,short,GMTUSDT,30:9:6:4,0.26810000,30:9:07:4,0.26800000,True
14,long,ARPAUSDT,30:9:6:12,0.06341000,30:9:07:12,0.06340000,False
15,long,XMRUSDT,30:9:6:22,167.40000000,30:9:07:22,167.40000000,False
16,long,ACHUSDT,30:9:6:30,0.01951000,30:9:07:30,0.01947000,False
17,long,YFIUSDT,30:9:6:32,7337.00000000,30:9:07:32,7335.00000000,False
18,short,API3USDT,30:9:6:41,3.02300000,30:9:07:41,3.01400000,True
19,short,APTUSDT,30:9:6:47,9.13150000,30:9:07:47,9.12820000,True
20,long,ILVUSDT,30:9:6:48,77.78000000,30:9:07:48,77.75000000,False
21,long,UNIUSDT,30:9:6:58,6.19100000,30:9:07:58,6.18800000,False
22,short,STORJUSDT,30:9:7:22,0.67350000,30:9:08:22,0.67190000,True
23,long,BNBUSDT,30:9:7:26,311.50000000,30:9:08:26,311.40000000,False
24,long,BNBUSDC,30:9:7:28,311.60000000,30:9:08:28,311.60000000,False
25,long,KEYUSDT,30:9:7:29,0.00523100,30:9:08:29,0.00523100,False
26,long,CVXUSDT,30:9:7:36,2.90400000,30:9:08:36,2.90400000,False
27,long,CRVUSDT,30:9:7:37,0.48080000,30:9:08:308,0.48050000,False
28,long,AUDIOUSDT,30:9:7:44,0.19010000,30:9:08:44,0.19010000,False
29,short,XEMUSDT,30:9:7:48,0.03727000,30:9:08:48,0.03727000,False
30,short,WOOUSDT,30:9:8:18,0.36690000,30:9:09:109,0.36690000,False
31,short,HOOKUSDT,30:9:8:29,0.88170000,30:9:09:29,0.88130000,True
32,long,STGUSDT,30:9:8:35,0.54070000,30:9:09:35,0.54090000,True
33,short,PEOPLEUSDT,30:9:8:39,0.02708000,30:9:09:39,0.02709000,False
34,long,IOSTUSDT,30:9:8:40,0.00870000,30:9:09:40,0.00870000,False
35,short,ADAUSDT,30:9:8:48,0.52860000,30:9:09:409,0.52850000,True
36,short,RLCUSDT,30:9:9:18,2.39800000,30:10:10:18,2.39800000,False
37,long,ALGOUSDT,30:9:9:26,0.16740000,30:10:10:26,0.16740000,False
38,short,AXSUSDT,30:9:9:38,7.47000000,30:10:10:38,7.48000000,False
39,short,CYBERUSDT,30:9:9:52,7.16700000,30:10:10:52,7.16300000,True
40,short,GALAUSDT,30:9:9:53,0.02328000,30:10:10:53,0.02327000,True
41,short,SNTUSDT,30:9:9:56,0.03984000,30:10:10:56,0.03987000,False
42,short,NTRNUSDT,30:9:9:59,1.16000000,30:10:10:510,1.15910000,True
43,long,SUPERUSDT,30:9:10:9,0.73000000,30:9:11:9,0.73020000,True
