,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT,CONFIRMATION
0,long,HIGHUSDT,2:1:10:21:56,1.40400000,2:1:10:22:56,1.40200000,1,False long miss
1,short,JOEUSDT,2:1:10:24:40,0.45150000,2:1:10:25:40,0.45170000,2,False short miss
2,short,ONGUSDT,2:1:10:24:47,0.29610000,2:1:10:25:47,0.29610000,0,False 0
3,short,BNBBTC,2:1:10:25:5,0.00706600,2:1:10:26:5,0.00706100,1,True short
4,short,KNCUSDT,2:1:10:25:6,0.57490000,2:1:10:26:6,0.57540000,2,False short miss
5,short,HFTUSDT,2:1:10:25:11,0.30490000,2:1:10:26:11,0.30520000,2,False short miss
6,short,AMBUSDT,2:1:10:25:12,0.00732000,2:1:10:26:12,0.00733000,2,False short miss
7,short,LTCUSDT,2:1:10:25:21,66.52000000,2:1:10:26:21,66.53000000,2,False short miss
8,short,ARKMUSDT,2:1:10:25:24,0.51920000,2:1:10:26:24,0.51960000,2,False short miss
9,short,IOSTUSDT,2:1:10:25:45,0.00818000,2:1:10:26:45,0.00818000,0,False 0
10,long,STPTUSDT,2:1:10:37:40,0.05152000,2:1:10:38:40,0.05155000,2,True long
11,long,ETCUSDT,2:1:10:37:44,23.80000000,2:1:10:38:44,23.80000000,0,False 0
12,long,ARKMUSDT,2:1:10:37:52,0.52390000,2:1:10:38:52,0.52340000,1,False long miss
13,long,PENDLEUSDT,2:1:10:39:3,2.63270000,2:1:10:40:3,2.63170000,1,False long miss
14,long,MANTAUSDT,2:1:10:39:29,2.97068000,2:1:10:40:29,2.97540000,2,True long
15,long,TWTUSDT,2:1:10:39:50,1.08170000,2:1:10:40:50,1.08170000,0,False 0
16,long,PENDLEUSDT,2:1:10:40:46,2.63170000,2:1:10:41:46,2.63760000,2,True long
17,long,SOLUSDC,2:1:10:41:0,94.63000000,2:1:10:42:0,94.61000000,1,False long miss
18,long,STRAXUSDT,2:1:10:41:32,0.82600000,2:1:10:42:32,0.82600000,0,False 0
19,long,OXTUSDT,2:1:10:41:34,0.09420000,2:1:10:42:34,0.09430000,2,True long
20,long,USTCUSDT,2:1:10:42:32,0.02381134,2:1:10:43:32,0.02380457,1,False long miss
21,long,ARKUSDT,2:1:10:42:33,0.84270000,2:1:10:43:33,0.84200000,1,False long miss
22,long,BALUSDT,2:1:10:42:58,3.58800000,2:1:10:43:58,3.58800000,0,False 0
23,long,MINAUSDT,2:1:10:43:16,1.15940000,2:1:10:44:16,1.15580000,1,False long miss
24,long,AGIXUSDT,2:1:10:43:27,0.25876000,2:1:10:44:27,0.25860000,1,False long miss
25,long,BEAMXUSDT,2:1:10:43:28,0.01704800,2:1:10:44:28,0.01704700,1,False long miss
26,long,POWRUSDT,2:1:10:43:44,0.31110000,2:1:10:44:44,0.31140000,2,True long
27,long,ALTUSDT,2:1:10:43:46,0.34431000,2:1:10:44:46,0.34438000,2,True long
28,long,ATAUSDT,2:1:10:43:55,0.08320000,2:1:10:44:55,0.08310000,1,False long miss
29,long,STPTUSDT,2:1:10:44:23,0.05174000,2:1:10:45:23,0.05180000,2,True long
30,long,ARKMUSDT,2:1:10:44:34,0.52390000,2:1:10:45:34,0.52360000,1,False long miss
31,long,OGNUSDT,2:1:10:44:42,0.15530000,2:1:10:45:42,0.15540000,2,True long
32,long,1000SATSUSDT,2:1:10:45:26,0.00053420,2:1:10:46:26,0.00053290,1,False long miss
33,short,LSKUSDT,2:1:10:45:48,1.29900000,2:1:10:46:48,1.30000000,2,False short miss
34,long,IOTAUSDT,2:1:10:45:54,0.24040000,2:1:10:46:54,0.24090000,2,True long
35,long,BATUSDT,2:1:10:45:56,0.21910000,2:1:10:46:56,0.21930000,2,True long
36,long,ENSUSDT,2:1:10:46:13,17.39000000,2:1:10:47:13,17.39000000,0,False 0
37,long,STRAXUSDT,2:1:10:46:30,0.82500000,2:1:10:47:30,0.82400000,1,False long miss
38,long,USTCUSDT,2:1:10:47:30,0.02381435,2:1:10:48:30,0.02382794,2,True long
39,long,WAVESUSDT,2:1:10:47:35,2.08800000,2:1:10:48:35,2.08900000,2,True long
40,long,ARKMUSDT,2:1:10:47:49,0.52440000,2:1:10:48:49,0.52490000,2,True long
41,long,POLYXUSDT,2:1:10:49:36,0.15000000,2:1:10:50:36,0.15010000,2,True long
42,long,OXTUSDT,2:1:10:49:46,0.09480000,2:1:10:50:46,0.09490000,2,True long
43,long,1INCHUSDT,2:1:10:53:39,0.37680000,2:1:10:54:39,0.37650000,1,False long miss
44,long,BNTUSDT,2:1:10:53:43,0.68360000,2:1:10:54:43,0.68360000,0,False 0
45,long,CELOUSDT,2:1:10:54:31,0.64700000,2:1:10:55:31,0.64700000,0,False 0
46,long,TRUUSDT,2:1:10:54:45,0.04567000,2:1:10:55:45,0.04567000,0,False 0
47,long,XAIUSDT,2:1:10:54:58,0.75670000,2:1:10:55:58,0.75610000,1,False long miss
48,long,IMXUSDT,2:1:10:55:36,1.94340000,2:1:10:56:36,1.94490000,2,True long
49,long,IOSTUSDT,2:1:10:56:48,0.00824000,2:1:10:57:48,0.00824000,0,False 0
50,long,TRUUSDT,2:1:10:58:3,0.04566000,2:1:10:59:3,0.04574000,2,True long
51,long,CELOUSDT,2:1:10:59:31,0.64700000,2:1:11:0:31,0.64700000,0,False 0
52,long,FRONTUSDT,2:1:11:0:11,0.44700000,2:1:11:1:11,0.44620000,1,False long miss
53,long,POLYXUSDT,2:1:11:2:32,0.14990000,3:1:11:3:33,0.15230000,2,True long
54,long,MANAUSDT,2:1:11:2:33,0.42810000,3:1:11:3:33,0.43240000,2,True long
55,long,ALICEUSDT,2:1:11:2:36,1.07600000,3:1:11:3:36,1.08300000,2,True long
56,long,XLMUSDT,2:1:11:3:8,0.10900000,2:1:11:4:8,0.10910000,2,True long
57,long,MANTAUSDT,2:1:11:3:58,2.98690000,2:1:11:4:58,2.99440000,2,True long
58,long,CHZUSDT,2:1:11:4:8,0.10000000,2:1:11:5:8,0.09979000,1,False long miss
59,short,CKBUSDT,2:1:11:5:6,0.00422900,2:1:11:6:6,0.00424900,2,False short miss
60,long,MANTAUSDT,2:1:11:5:39,2.99577000,2:1:11:6:39,2.98738000,1,False long miss
61,long,INJUSDT,2:1:11:6:0,33.61000000,2:1:11:7:0,33.58000000,1,False long miss
